Test Date,County,Number Positive,Number Tests
3/1/2020,Albany,0.00,0.00
3/2/2020,Albany,0.00,0.00
3/3/2020,Albany,0.00,0.00
3/4/2020,Albany,0.00,0.00
3/5/2020,Albany,0.00,3.00
3/6/2020,Albany,0.00,0.00
3/7/2020,Albany,0.00,5.00
3/8/2020,Albany,0.00,2.00
3/9/2020,Albany,0.00,3.00
3/10/2020,Albany,0.00,2.00
3/11/2020,Albany,0.00,13.00
3/12/2020,Albany,1.00,11.00
3/13/2020,Albany,2.00,26.00
3/14/2020,Albany,3.00,108.00
3/15/2020,Albany,6.00,108.00
3/16/2020,Albany,11.00,140.00
3/17/2020,Albany,13.00,267.00
3/18/2020,Albany,7.00,331.00
3/19/2020,Albany,18.00,450.00
3/20/2020,Albany,27.00,499.00
3/21/2020,Albany,35.00,577.00
3/22/2020,Albany,4.00,197.00
3/23/2020,Albany,19.00,144.00
3/24/2020,Albany,6.00,198.00
3/25/2020,Albany,19.00,93.00
3/26/2020,Albany,16.00,112.00
3/27/2020,Albany,8.00,101.00
3/28/2020,Albany,10.00,73.00
3/29/2020,Albany,12.00,61.00
3/30/2020,Albany,9.00,72.00
3/31/2020,Albany,14.00,108.00
4/1/2020,Albany,13.00,106.00
4/2/2020,Albany,14.00,105.00
4/3/2020,Albany,26.00,123.00
4/4/2020,Albany,12.00,117.00
4/5/2020,Albany,14.00,89.00
4/6/2020,Albany,14.00,86.00
4/7/2020,Albany,9.00,74.00
4/8/2020,Albany,37.00,229.00
4/9/2020,Albany,47.00,332.00
4/10/2020,Albany,20.00,159.00
4/11/2020,Albany,32.00,223.00
4/12/2020,Albany,21.00,193.00
4/13/2020,Albany,36.00,216.00
4/14/2020,Albany,13.00,106.00
4/15/2020,Albany,33.00,301.00
4/16/2020,Albany,38.00,273.00
4/17/2020,Albany,29.00,291.00
4/18/2020,Albany,34.00,305.00
4/19/2020,Albany,5.00,103.00
4/20/2020,Albany,17.00,164.00
4/21/2020,Albany,33.00,236.00
4/22/2020,Albany,21.00,178.00
4/23/2020,Albany,47.00,319.00
4/24/2020,Albany,94.00,626.00
4/25/2020,Albany,49.00,402.00
4/26/2020,Albany,31.00,263.00
4/27/2020,Albany,30.00,197.00
4/28/2020,Albany,58.00,351.00
4/29/2020,Albany,98.00,439.00
4/30/2020,Albany,39.00,378.00
5/1/2020,Albany,34.00,434.00
5/2/2020,Albany,20.00,441.00
5/3/2020,Albany,29.00,391.00
5/4/2020,Albany,7.00,130.00
5/5/2020,Albany,27.00,367.00
5/6/2020,Albany,27.00,407.00
5/7/2020,Albany,36.00,385.00
5/8/2020,Albany,32.00,488.00
5/9/2020,Albany,16.00,455.00
